time_s,id,kind,role,alive,x_m,y_m,z_m,yaw_rad
2.5,H4,drone,hostile_ground,True,235.80214925552906,569.477479598652,80.0,-0.6932035598189132
3.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
3.0,F1,drone,friendly,True,321.21989590223745,496.8401203629252,70.0,2.54794829261315
3.0,F2,drone,friendly,True,343.42469061271396,502.8037349319004,70.0,2.6158581801973355
3.0,F3,drone,friendly,True,369.62520551296666,487.8811095092336,70.0,2.7278243046205017
3.0,F4,drone,friendly,True,422.1307937523389,447.98339169367705,70.0,2.6634981801489848
3.0,F5,drone,friendly,True,458.70404723211414,437.00591780218576,70.0,2.7367036874567754
3.0,F6,drone,friendly,True,612.2417397880552,411.11335661820533,70.0,-1.2666983211448422
3.0,H1,drone,hostile_ground,True,217.4027280987152,145.65475629537323,80.0,0.6260373166875717
3.0,H2,drone,hostile_ground,True,775.6959484061537,149.25219474237764,80.0,2.512212253379184
3.0,H3,drone,hostile_air,True,823.16716032946,480.79818216304756,95.0,-2.7570072606481593
3.0,H4,drone,hostile_ground,True,247.8974106002601,559.429549831904,80.0,-0.6932015438088657
3.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
3.5,F1,drone,friendly,True,304.1710286409183,509.10128364810816,70.0,2.518111440593074
3.5,F2,drone,friendly,True,325.7904150091938,512.5017225250963,70.0,2.638787059450112
3.5,F3,drone,friendly,True,351.2710645125245,495.79568355113884,70.0,2.734469960164963
3.5,F4,drone,friendly,True,403.476122539007,457.627210539056,70.0,2.664465054722316
3.5,F5,drone,friendly,True,439.39071797995837,445.2518448694005,70.0,2.7380670691828533
3.5,F6,drone,friendly,True,618.4824225802115,391.0620754050837,70.0,-1.2690633154284336
3.5,H1,drone,hostile_ground,True,230.3682723152673,155.0299716618932,80.0,0.6260530837179332
3.5,H2,drone,hostile_ground,True,763.2714704453942,158.29912687293933,80.0,2.5122202715911572
3.5,H3,drone,hostile_air,True,807.2474651051222,474.3548650526163,95.0,-2.75700785768414
3.5,H4,drone,hostile_ground,True,259.9565169499788,549.4116667516948,80.0,-0.6932009772125867
4.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
4.0,F1,drone,friendly,True,287.7947700903297,522.2473155925496,70.0,2.4651774868063514
4.0,F2,drone,friendly,True,308.1989481612692,521.2044713451129,70.0,2.682182601898932
4.0,F3,drone,friendly,True,332.824397070621,503.68404980415835,70.0,2.737495664880034
4.0,F4,drone,friendly,True,384.82275992921245,467.2735602811874,70.0,2.6643293790251983
4.0,F5,drone,friendly,True,420.0777428555667,453.4986013132776,70.0,2.7380241255631805
4.0,F6,drone,friendly,True,624.7144512309894,371.00810275885016,70.0,-1.269494886876628
4.0,H1,drone,hostile_ground,True,243.33377041159426,164.40525081049148,80.0,0.6260580030788708
4.0,H2,drone,hostile_ground,True,750.7412945930993,167.42297984800223,80.0,2.512222539684858
4.0,H3,drone,hostile_air,True,791.025764029101,467.7893175354466,95.0,-2.75700801955216
4.0,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
4.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
4.5,F1,drone,friendly,True,292.07637199476244,516.4479114760657,70.0,-0.9348363199286596
4.5,F2,drone,friendly,True,317.4869047447419,515.3370694606043,70.0,-0.5634181604069791
4.5,F3,drone,friendly,True,336.3084505970038,482.9750814323321,70.0,-1.40411832496208
4.5,F4,drone,friendly,True,382.4935177928095,446.40313548747497,70.0,-1.6819413105446739
4.5,F5,drone,friendly,True,414.3140883706599,433.30503087666057,70.0,-1.8488241461082213
4.5,F6,drone,friendly,True,630.839741747171,350.9212708510461,70.0,-1.2748130604513435
4.5,H1,drone,hostile_ground,True,256.2992541261075,173.78054984831914,80.0,0.626059537091701
4.5,H2,drone,hostile_ground,True,738.2111126884714,176.5468245111328,80.0,2.5122232030379035
4.5,H3,drone,hostile_air,True,774.8941370928355,461.2602274422252,95.0,-2.7570080700814033
4.5,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
5.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
5.0,F1,drone,friendly,True,296.6984300700232,496.6093106491735,70.0,-1.341896599721865
5.0,F2,drone,friendly,True,324.1567587740859,495.4244340944042,70.0,-1.247586204227059
5.0,F3,drone,friendly,True,339.21553599055034,462.17727254498465,70.0,-1.431917687547532
5.0,F4,drone,friendly,True,380.15556266255777,425.56827644335175,70.0,-1.6825424877101656
5.0,F5,drone,friendly,True,408.72576359228907,413.06223892072114,70.0,-1.8401523172186323
5.0,F6,drone,friendly,True,636.891415383011,330.8121374484034,70.0,-1.2784759553446268
5.0,H1,drone,hostile_ground,True,269.26473358310653,183.15585477403414,80.0,0.6260599912119199
5.0,H2,drone,hostile_ground,True,725.6809288769065,185.6706665553812,80.0,2.5122234120438063
5.0,H3,drone,hostile_air,True,758.6724355891902,454.69468098159984,95.0,-2.757008084683695
5.0,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
5.5,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
5.5,F1,drone,friendly,True,302.1359483259792,476.8834773015763,70.0,-1.3018215681314742
5.5,F2,drone,friendly,True,330.5309350075833,475.415189297453,70.0,-1.2623987525518041
5.5,F3,drone,friendly,True,342.3237108051499,441.4085641277072,70.0,-1.422242214818756
5.5,F4,drone,friendly,True,377.3334285518031,404.993457575943,70.0,-1.7071101695984756
5.5,F5,drone,friendly,True,403.83363028620914,392.6400198513951,70.0,-1.8059153430324781
5.5,F6,drone,friendly,True,642.8530469442246,310.67612619670956,70.0,-1.282950628011812
5.5,H1,drone,hostile_ground,True,282.2302117918881,192.53116142595812,80.0,0.6260601243507722
5.5,H2,drone,hostile_ground,True,713.1507444699101,194.79450778189675,80.0,2.512223477304846
5.5,H3,drone,hostile_air,True,742.4507340567346,448.12913459215673,95.0,-2.7570080890717814
5.5,H4,drone,hostile_ground,False,272.26379093321646,539.1876261071394,80.0,-0.6932008243504244
6.0,asset-alpha,asset,protected_ground_asset,True,500.0,350.0,0.0,0.0
6.0,F1,drone,friendly,True,308.16749150196216,457.30501594978307,70.0,-1.271952097526405
6.0,F2,drone,friendly,True,336.84296185158155,455.3862523031778,70.0,-1.2655032561432604
